ID;Endereço;Bairro;Zona;latitude;longitude;Piscina;Portaria 24h;Tamanho;Academia;bed;char;couch;microwave;sink;toilet;tv;oven;bed_conf;couch_conf;microwave_conf;sink_conf;toilet_conf;tv_conf;oven_conf
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;Jardim Paulista;Oeste;-23,5701325;-46,6573532;0;1;40;1;1;0;1;1;1;1;1;0;0,998376012;0,948498785;0,918724954;0,754974782;0,955744147;0,996090412;0
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;Jardim Paulista;Oeste;-23,5701325;-46,6573532;0;1;40;1;1;0;1;1;1;1;1;0;0,999287546;0,774948061;0,980477929;0,746723354;0,957778275;0,995355308;0
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;Jardim Paulista;Oeste;-23,5701325;-46,6573532;0;1;40;1;0;0;1;0;0;1;1;0;0;0,995561481;0;0;0,968422115;0,531266928;0
CA1004;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;Jardim Paulista;Oeste;-23,5701325;-46,6573532;0;1;28;1;1;0;0;0;1;1;1;0;0,997509241;0;0;0,745883942;0,990483344;0,797655821;0
CA1107;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;Jardim Paulista;Oeste;-23,5701325;-46,6573532;0;1;28;1;1;0;1;1;1;1;0;0;0,998938024;0,677647412;0,890567958;0,881811619;0,868192077;0;0
CA1302;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;Jardim Paulista;Oeste;-23,5701325;-46,6573532;0;1;28;1;1;0;0;0;0;1;0;1;0,988075852;0;0;0;0,795280516;0;0,899974406
FL061;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;1;1;0;0,999195337;0,977930844;0;0,970679879;0,941855907;0,948400497;0
FL112;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;1;1;0;0,993683875;0,817787707;0,904596686;0,646078348;0,553014398;0,696845055;0
FL113;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;1;1;0;0,997293174;0,94812125;0,717290699;0,975655973;0,979870439;0,99085778;0
FL115A;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;1;1;0;0,99441272;0,971897364;0;0,923838317;0,740143657;0,971465945;0
FL115B;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;1;1;0;0,999545097;0,981190741;0;0,956146657;0,763866782;0,975152373;0
FL116;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;1;0;0;0,999279082;0,834370136;0;0,819073558;0,857157528;0;0
FL123;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;0;1;1;1;1;0;0,996474564;0;0,992099226;0,734640956;0,503374159;0,805081129;0
FL135;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;0;1;1;0,987329304;0,948586404;0;0,928316414;0;0,976889908;0,504330397
FL136;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;0;1;1;0,995289207;0,979804158;0;0,586178005;0;0,550963938;0,949842989
FL143;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;0;1;1;1;1;0;0,996474564;0;0,992099226;0,734640956;0,503374159;0,805081129;0
FL144;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;1;1;0;0,96237725;0,994493961;0,997254431;0,989674509;0,969767392;0,978823185;0
FL145;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;1;1;0;0,994751871;0,998929679;0,991873085;0,949108124;0,735090971;0,995919287;0
FL152;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;0;1;1;0,952412605;0,954568684;0;0,68862462;0;0,968178868;0,663455307
FL153;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;1;1;0;0,997293174;0,997031927;0,717290699;0,900945246;0,979870439;0,99085778;0
FL154;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;1;1;0;0,998090446;0,991153002;0,94980371;0,914505303;0,982190192;0,986021638;0
FL155;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;0;1;0;0,998419762;0,992901921;0,974579394;0,853302181;0;0,945276558;0
FL156;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;1;0;1;0,97351253;0,972849786;0,874438465;0,828142703;0,608041048;0;0,700523913
FL171;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;1;1;0;0,998669803;0,98313868;0,961468697;0,911699057;0,942271948;0,98973;0
FL173;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;1;0;0;0,996958971;0,99600774;0,782628655;0,995234013;0,978479743;0;0
FL174;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;0;1;0;0;0,991710544;0,971877635;0;0;0,953900754;0;0
FL175;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;0;1;0;0,968604147;0,992617726;0;0,806383669;0;0,968805671;0
FL54;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;1;1;0;0,994495749;0,860204816;0,690628946;0,696323633;0,850462079;0,893220484;0
FL65;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;0;1;0;0,903298378;0,990137696;0;0,884572089;0;0,971839368;0
FL75;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;0;1;0;0,975414038;0,885844946;0,857275248;0,787863493;0;0,540386081;0
FL8292;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;0;1;0;0,990987062;0,957195878;0;0,771665573;0;0,988163352;0
FL83;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;1;1;0;0,995738864;0,520415485;0;0,602297485;0,93638742;0,976035774;0
FL86;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;1;0;0;0,99652952;0,917853355;0;0,846460402;0,784225285;0;0
FL92;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;0;1;0;0,998496056;0,884269774;0;0,7438851;0;0,918239892;0
FL94;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;1;1;1;0;0;0,993853807;0,985468686;0,992910802;0,694306731;0,993500769;0;0
FL95;R. Cel. Joaquim Ferreira Lôbo, 305 - Vila Nova Conceição, São Paulo - SP, 04544-150;Vila Olímpia;Sul;-23,593657;-46,6846833;1;1;28;1;1;0;1;0;1;1;1;0;0,914781451;0,952811122;0;0,594426811;0,559870541;0,998657227;0
GC1001;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;1;1;1;1;1;0,992369056;0,991992474;0,630469859;0,99321413;0,74415338;0,93892312;0,860870898
GC1110;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;1;1;1;1;0;0,998694777;0,707109034;0,95193547;0,971117377;0,949648142;0,988316417;0
GC1210;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;1;1;1;1;0;0,97865814;0,982698083;0,645128846;0,51479286;0,901529789;0,996614039;0
GC1308;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;0;1;1;1;0;0;0,988313735;0;0,752671599;0,922148824;0,894293368;0;0
GC1403;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;0;0;1;1;0;0,993970275;0,950849354;0;;0,9018206;0,970596373;0
GC1405;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;0;1;1;1;0;0,999714315;0,987468719;0;0,959048867;0,933755517;0,99895072;0
GC1406;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;1;1;0;1;1;0,988326311;0,945582628;0,828406215;0,818690121;0;0,992468178;0,772961199
GC1408;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;0;0;1;1;0;0,998044074;0,619000554;0;0;0,500136018;0,99523145;0
GC1409;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;0;1;1;1;0;0,994381785;0,997176051;0;0,76372987;0,90714854;0,997974873;0
GC1411;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;0;1;1;1;0;0,991784215;0,826784134;0;0,902039528;0,85547334;0,943736434;0
GC1508;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;1;1;1;1;0;0,999670565;0,998939455;0,899743378;0,946065605;0,90964812;0,999253511;0
GC1508A;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;1;1;1;1;0;0,999391377;0,996750116;0,9335711;0,956484556;0,984525919;0,99916029;0
GC1509;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;0;0;1;1;1;0;0,988663197;0;0;0,950621307;0,645188153;0,987696767;0
GC1510;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;1;1;1;1;0;0,995993793;0,862421811;0,635914624;0,862069666;0,913457453;0,997666419;0
GC1512;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;1;1;1;1;0;0,992291927;0,987262905;0,982979536;0,899786711;0,856391311;0,994790733;0
GC1603;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;0;1;0;1;0;0;0,99867624;0;0,987143517;0;0,87959522;0;0
GC1604;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;1;1;1;1;0;0,99900806;0,571656942;0,758216262;0,904872537;0,969083309;0,995612562;0
GC1604A;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;0;0;1;1;1;0;0,998967767;0;0;0,774412155;0,979195237;0,977439642;0
GC1612;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;0;1;1;1;0;0,998987317;0,973179877;0;0,834212363;0,903624535;0,981974185;0
GC1703;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;0;0;1;1;0;0,989806414;0,888985038;0;0;0,993485451;0,861763418;0
GC1704;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;1;1;1;1;0;0,999146938;0,699380159;0,895912349;0,881466627;0,926801264;0,942854583;0
GC1708;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;0;0;0;1;1;0;0,958837092;0;0;0;0,823958755;0,9725824;0
GC1710;R. Gomes de Carvalho, 1146 - Vila Olímpia, São Paulo - SP, 04547-004;Vila Olímpia;Sul;-23,5973664;-46,6863424;1;1;28;1;1;0;1;1;0;1;0;0;0,964178503;0,941783667;0,959639251;0;0,558669567;0;0
